mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.7579408884048462,0.07345413065786087,0.06752753257751465,0.010789826134247744,150,20,5,log2,,"{'n_estimators': 150, 'min_samples_split': 20, 'min_samples_leaf': 5, 'max_features': 'log2', 'max_depth': None}",0.4619784265938039,0.43304967131998456,0.46722861691002826,0.4584332126440793,0.455172481866974,0.013150307862363654,20
1.8817373514175415,0.15023855430886635,0.07872658967971802,0.006697641854273065,250,7,4,sqrt,25,"{'n_estimators': 250, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 25}",0.41331582285186497,0.4193234431964662,0.433234099201495,0.43386922074694506,0.4249356464991928,0.008876798319194032,41
3.4517298340797424,0.11236066442242465,0.13609552383422852,0.009054957530099737,400,5,3,sqrt,30,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 30}",0.4248689666196584,0.4318705253004825,0.4451067808268656,0.45318872992377646,0.43875875066769576,0.011055491145164957,32
37.636943221092224,1.0016033536310112,0.0974123477935791,0.01180080843186712,250,5,3,0.5,25,"{'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 0.5, 'max_depth': 25}",0.4241063155360855,0.4309332791334428,0.4283912477992473,0.4215472345516528,0.42624451925510715,0.0036479210301300483,40
0.799225926399231,0.04721125024981548,0.06478166580200195,0.008589106504145056,200,20,7,log2,,"{'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 7, 'max_features': 'log2', 'max_depth': None}",0.44092273771503077,0.42550258364614374,0.4248983949817489,0.42215698895358156,0.4283701763241262,0.007356066344011945,38
0.7325804233551025,0.03731955027271631,0.05533492565155029,0.005765220631669389,150,7,2,log2,40,"{'n_estimators': 150, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 40}",0.45367914228833683,0.43770580405828985,0.4561738936864096,0.4572018165607269,0.4511901641484408,0.00788987490483062,21
3.049421012401581,0.06271102147753363,0.1268191933631897,0.01378078629924371,300,20,7,sqrt,,"{'n_estimators': 300, 'min_samples_split': 20, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'max_depth': None}",0.44229363774481706,0.43030057586248366,0.442055558958064,0.4404444372560619,0.43877355245535665,0.004943322655094704,31
37.09153652191162,0.2660465456946223,0.08640754222869873,0.006034176682462316,250,7,3,0.5,25,"{'n_estimators': 250, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_features': 0.5, 'max_depth': 25}",0.4171405541136857,0.429515252821797,0.4260099852545628,0.4234574000164993,0.4240307980516362,0.00452218622298247,43
38.45939874649048,0.4778638887834985,0.096427321434021,0.009201823374570496,200,7,5,0.5,40,"{'n_estimators': 200, 'min_samples_split': 7, 'min_samples_leaf': 5, 'max_features': 0.5, 'max_depth': 40}",0.46431886596221866,0.4805048369727747,0.473528171241506,0.48209376664379683,0.475111410205074,0.007014770320289791,14
56.84727257490158,1.1776044408620105,0.13881927728652954,0.007143385761419554,300,10,2,0.5,30,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 30}",0.45810647090896056,0.47470745745023557,0.43836041805472226,0.45784001913626476,0.4572535913875458,0.01287109882742092,18
1.9424461722373962,0.06759090107305653,0.08288341760635376,0.008974042517943077,250,20,7,sqrt,40,"{'n_estimators': 250, 'min_samples_split': 20, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'max_depth': 40}",0.4167525749474785,0.40669682077659186,0.4105870069011286,0.4279198483884986,0.41548906275342445,0.008022695387584752,50
2.107553541660309,0.09029341280425009,0.09393572807312012,0.005098709633175507,300,7,5,sqrt,30,"{'n_estimators': 300, 'min_samples_split': 7, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 30}",0.41410655051179496,0.40857180113170144,0.43220035572194426,0.4397952941783614,0.4236685003859505,0.012769174280923324,45
0.3272562623023987,0.004548564896513397,0.02678501605987549,0.0014877916659917548,100,10,2,log2,20,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20}",0.4116940146647529,0.3976711337659999,0.42327770244775564,0.4218887289064133,0.4136328949462304,0.010243512371742947,52
0.334247350692749,0.02423282612943389,0.025850415229797363,0.002120678423456121,100,15,7,log2,25,"{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 7, 'max_features': 'log2', 'max_depth': 25}",0.4142193196643055,0.4009216655354194,0.40099777942228154,0.40009319808583854,0.40405799067696124,0.005877363681881514,53
26.78776580095291,0.7303796850043186,0.0777549147605896,0.008598857894741607,250,15,4,0.5,20,"{'n_estimators': 250, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 20}",0.3665653415378557,0.39748966831422894,0.38999992694832564,0.39798882488058646,0.3880109404202492,0.01277961501401095,58
1.3580029010772705,0.12325748250635639,0.11709970235824585,0.014056741635537447,300,7,5,log2,40,"{'n_estimators': 300, 'min_samples_split': 7, 'min_samples_leaf': 5, 'max_features': 'log2', 'max_depth': 40}",0.4468567054414041,0.4224974028739517,0.4484590458646967,0.4504633840574714,0.44206913455938096,0.011371762256163558,28
21.07037454843521,0.47009731743833133,0.06845659017562866,0.0019412230780766029,200,5,3,0.5,15,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 0.5, 'max_depth': 15}",0.2971678107245154,0.37757143086003847,0.37496288049023363,0.35166179081435206,0.3503409782222849,0.03231433857360603,59
5.406704962253571,0.1181806665250231,0.1726662516593933,0.016741809170206144,200,20,2,sqrt,,"{'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",0.5399436244015379,0.519526901630453,0.5527225487885443,0.5284049566660136,0.5351495078716373,0.01246344772827652,2
46.78725093603134,0.914353801470638,0.0852510929107666,0.006555817259594011,150,20,4,0.5,,"{'n_estimators': 150, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': None}",0.49927952898750494,0.5061034077522129,0.5158247455139644,0.49874413772269016,0.5049879549940931,0.006896586931564974,4
18.567916750907898,0.6581365324240334,0.045465290546417236,0.0038402795895054226,100,10,7,0.5,35,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 7, 'max_features': 0.5, 'max_depth': 35}",0.4441060445099949,0.4705810802888281,0.4526464344326778,0.47503490815475213,0.4605921168465633,0.012681660592482479,16
40.58185827732086,0.6336813498879164,0.08708363771438599,0.007207793270946257,200,15,2,0.5,30,"{'n_estimators': 200, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 30}",0.45527149860816757,0.4469058955144648,0.43240245881949546,0.4484016954832264,0.44574538710633854,0.008324411234008877,24
84.63538926839828,0.19562780763739912,0.17318373918533325,0.005851842217853044,400,5,7,0.5,30,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 7, 'max_features': 0.5, 'max_depth': 30}",0.4443852984658718,0.4634767869070361,0.4347720500991357,0.43550072032442316,0.4445337139491167,0.01157310562455583,25
56.869765400886536,1.9547373533937142,0.2872479557991028,0.006269829802610059,300,15,4,0.5,30,"{'n_estimators': 300, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 30}",0.4520990172750078,0.4654177308982947,0.4239750746034426,0.44679096364790755,0.4470706966061631,0.014961481229192063,23
30.554824829101562,1.1329296970443588,0.06878286600112915,0.009257367353828153,150,10,5,0.5,35,"{'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 0.5, 'max_depth': 35}",0.46300103454484837,0.48324853305495435,0.4738721826033805,0.49172054879537,0.47796057474963827,0.010698156175929112,11
58.4015634059906,0.8856864402996759,0.07046806812286377,0.008484438912252324,150,5,2,0.5,40,"{'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 40}",0.49793360203789233,0.4942692153466686,0.50068915232789,0.5117902545887715,0.5011705560753056,0.006540568044482159,5
0.8119421005249023,0.03988934529579395,0.06425875425338745,0.005368383635585921,200,7,4,log2,15,"{'n_estimators': 200, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 15}",0.440647477507475,0.40290437639991294,0.42169533063896014,0.41609212831335524,0.4203348282149258,0.01356720163720374,47
1.0063185095787048,0.046396285567886164,0.07391685247421265,0.007012985309172984,250,15,7,log2,15,"{'n_estimators': 250, 'min_samples_split': 15, 'min_samples_leaf': 7, 'max_features': 'log2', 'max_depth': 15}",0.4216572129695222,0.4133971971381088,0.4141337762227788,0.41658810226102655,0.41644407214785906,0.0032333611183439077,49
108.1371945142746,0.7795256126823589,0.12092936038970947,0.00820226424124173,300,10,4,0.5,35,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 35}",0.4654472061057554,0.48414108774126935,0.46872157806653125,0.49653394599205963,0.47871095447640394,0.012478582008178406,10
